NAMA PEMOHON LELANG/PENJUAL,LOKASI,TAHUN LELANG,NILAI LIMIT,POKOK LELANG,URAIAN BARANG,Merk,Type,Tahun Kendaraan,Isi Silinder,Dok Kepemilikan
Pemkab Nagekeo,Nagekeo,2023,447000,1201234,"1 (satu) unit Sepeda Motor, Merk Suzuki, Tipe Smash (FK 110 SD KG), Tahun Pembuatan 2008, Nomor Polisi EB 468 Y, Nomor Rangka MH8BE4DFA8J - 660344, Nomor Mesin E451 - 1D - 683418, Warna Biru Hitam, Bahan Bakar Bensin, Isi Silinder 110 CC, Nomor BPKB F 4026935 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Suzuki,Smash,2008,110,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,824000,1234567,"1 (satu) unit Sepeda Motor, Merk Suzuki, Tipe Smash (FK 110 SD KG), Tahun Pembuatan 2008, Nomor Polisi EB 470 Y, Nomor Rangka MH8BE4DFA8J - 653979, Nomor Mesin E451 - 1D - 677994, Warna Biru Hitam, Bahan Bakar Bensin, Isi Silinder 110 CC, Nomor BPKB F 4026831 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Suzuki,Smash,2008,110,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,863000,1199999,"1 (satu) unit Sepeda Motor, Merk Suzuki, Tipe Smash (FK 110 SD KG), Tahun Pembuatan 2008, Nomor Polisi EB 354 BD, Nomor Rangka MH8BE4DFA8J - 660493, Nomor Mesin E451 - 1D - 683581, Warna Biru Hitam, Bahan Bakar Bensin, Isi Silinder 110 CC, Nomor BPKB F 4026894 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Suzuki,Smash,2008,110,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,706000,1706999,"1 (satu) unit Sepeda Motor, Merk Suzuki, Tipe Smash (FW 110 SD), Tahun Pembuatan 2010, Nomor Polisi EB 495 WH, Nomor Rangka
MH8BE4DUAAJ163345, Nomor Mesin E4701D171380, Warna Biru, Bahan Bakar Bensin, Isi Silinder 113 CC, Nomor BPKB H-02529818 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Suzuki,Smash,2010,113,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,933000,3199999,"1 (satu) unit Sepeda Motor, Merk Suzuki, Tipe Smash (FW 110 SD), Tahun Pembuatan 2010, Nomor Polisi EB 500 WH, Nomor Rangka MH8WE4DUAAJ164560, Nomor Mesin E470ID172756, Warna Biru, Bahan Bakar Bensin, Isi Silinder 113 CC, Nomor BPKB H-02529821 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Suzuki,Smash,2010,113,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,870000,3250000,"1 (satu) unit Sepeda Motor, Merk Suzuki, Tipe Smash (FW 110 SD), Tahun Pembuatan 2010, Nomor Polisi EB 498 WH, Nomor Rangka MH8BE4DUAAJ161264, Nomor Mesin E470ID169075, Warna Biru, Bahan Bakar Bensin, Isi Silinder 113 CC, Nomor BPKB H-02529823 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Suzuki,Smash,2010,113,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,1637000,2878900,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Supra X (NF125TD), Tahun Pembuatan 2007, Nomor Polisi EB 354 Y, Nomor Rangka MH1JB81147K007613, Nomor Mesin JB81E1008138, Warna Hitam kuning, Bahan Bakar Bensin, Isi Silinder 125 CC, Nomor BPKB E 7722617 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Honda,Supra X,2007,125,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,867000,2099999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Megapro (GL 160 D), Tahun Pembuatan 2008, Nomor Polisi EB 213 WU, Nomor Rangka MH1KC11178K152459, Nomor Mesin KC11E1154287, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 160 CC, Nomor BPKB E 9205996 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Honda,GL 160,2008,160,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,1887000,2567890,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Supra X (NF125TD), Tahun Pembuatan 2011, Nomor Polisi EB 228 Y, Nomor Rangka MH1JB9129BK866493, Nomor Mesin JB91E2857306, Warna Merah Hitam, Bahan Bakar Bensin, Isi Silinder 125 CC, Nomor BPKB H-06444336 dalam kondisi rusak berat (BPKB ada, STNK tidak ada)",Honda,Supra X,2011,125,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,856000,2235998,"1 (satu) unit Sepeda Motor, Merk Suzuki, Tipe Smash (FW 110 SD), Tahun Pembuatan 2010, Nomor Polisi EB 499 WH, Nomor Rangka MH8BE4DUAAJ163341, Nomor Mesin E470ID171367, Warna Biru, Bahan Bakar Bensin, Isi Silinder 113 CC, Nomor BPKB H-02529824 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Suzuki,Smash,2010,113,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,933000,4275000,"1 (satu) unit Sepeda Motor, Merk Suzuki, Tipe Smash (FW 110 SD), Tahun Pembuatan 2010, Nomor Polisi EB 496 WH, Nomor Rangka MH8BE4DUAAJ160931, Nomor Mesin E470ID169125, Warna Biru, Bahan Bakar Bensin, Isi Silinder 113 CC, Nomor BPKB H-02529820 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Suzuki,Smash,2010,113,BPKB dan STNK
Pemkab Nagekeo,Nagekeo,2023,1481000,4599999,"1 (satu) unit Sepeda Motor, Merk Yamaha, Tipe 3C1 (V-IXION), Tahun Pembuatan 2011, Nomor Polisi EB 247 Y, Nomor Rangka MH33C1005BK761904, Nomor Mesin 3C1764394, Warna Putih, Bahan Bakar Bensin, Isi Silinder 150 CC, Nomor BPKB I-01449081 dalam kondisi rusak berat (BPKB ada, STNK tidak ada).",Yamaha,V-ixion,2011,150,BPKB dan STNK
KPP Maumere,Sikka,2023,5223000,10599999,"1 (satu) unit Sepeda Motor, Merk Yamaha RX King, Tahun Pembuatan 2003, Nomor Polisi EB 2294 VN, Nomor Rangka MH33KA0113K615578, Nomor Mesin 3KA-589789, Warna Hijau, Bahan Bakar Bensin, Isi Silinder 135 CC, Nomor BPKB C No. 7306276 O dalam kondisi rusak berat (BPKB dan STNK ada).",Yamaha,RX King,2003,135,STNK
Pemkab Kupang,Kupang,2023,852000,3599999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win (MCB), Tahun Pembuatan 2002, Nomor Polisi DH 333 AA, Nomor Rangka MH1HABC162K002790, Nomor Mesin HABCE1002806, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB C No. 2943125 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win MCB,2002,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1741000,5865500,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win (MCB), Tahun Pembuatan 2003, Nomor Polisi DH 3520 NW (Ex. DH 609 KA), Nomor Rangka MH1HABD183K031076, Nomor Mesin HABDE1030916, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB C No. 7673582 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win MCB,2003,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,921000,2888999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win (MCB), Tahun Pembuatan 2003, Nomor Polisi DH 592 KA, Nomor Rangka MH1HABD123K031252, Nomor Mesin HABDE1031047, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB C No. 7673572 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win MCB,2003,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1604000,4100009,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win (MCB), Tahun Pembuatan 2003, Nomor Polisi DH 2267 NW (Ex. DH 556 KA), Nomor Rangka MH1HABD103K025773, Nomor Mesin HABDE1025473, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB C No. 7673575 O dalam kondisi rusak berat (BPKB Ada, STNK Tidak ada).",Honda,Win MCB,2003,100,BPKB
Pemkab Kupang,Kupang,2023,1262000,2559999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win MCB, Tahun Pembuatan 2005, Nomor Polisi DH 415 FB, Nomor Rangka MH1HABD1X5K123163, Nomor Mesin HABDE-1122657, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153662 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win MCB,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1262000,3509999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2811 NW, Nomor Rangka MH1HABD105K131983, Nomor Mesin HABDE-1130507, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153461 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1262000,3509999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 3300 NW, Nomor Rangka MH1HABD155K137259, Nomor Mesin HABDE1136273, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153562 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1135000,4099999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2355 WC (Ex. DH 562 FB), Nomor Rangka MH1HABD1X5K131649, Nomor Mesin HABDE1129370, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153428 O dalam kondisi rusak berat (BPKB Ada, STNK Tidak ada).",Honda,Win,2005,100,BPKB
Pemkab Kupang,Kupang,2023,1262000,2809999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win MCB, Tahun Pembuatan 2005, Nomor Polisi DH 3531 WC, Nomor Rangka MH1HBD165K132085, Nomor Mesin HABDE1130961, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153362 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win MCB,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1262000,2509999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2762 NW, Nomor Rangka MH1HABD1X5K132090, Nomor Mesin HABDE1130980, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153350 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1262000,2555555,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2227 WC, Nomor Rangka MH1HABD185K137384, Nomor Mesin HABDE-1136393, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153381 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1262000,2555555,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2891 NW, Nomor Rangka MH1HABD115K137372, Nomor Mesin HABDE-1136323, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153470 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1262000,3666666,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2845 NW (ex. DH 565 FB), Nomor Rangka MH1HABD145K131663, Nomor Mesin HABDE-1130556, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153448 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1262000,4666666,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2809 NW, Nomor Rangka MH1HABD135K133968, Nomor Mesin HABDE-1132707, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153520 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1262000,4019909,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2344 WC (ex. DH 2698 NW), Nomor Rangka MH1HABD155K130490, Nomor Mesin HABDE-1129452, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153413 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,1135000,2567899,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2769 NW (Ex. DH 530 FB), Nomor Rangka MH1HABD165K131616, Nomor Mesin HABDE-1129404, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153619 O dalam kondisi rusak berat (BPKB Ada, STNK Tidak ada).",Honda,Win,2005,100,BPKB
Pemkab Kupang,Kupang,2023,1262000,4999999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2005, Nomor Polisi DH 2548 WC (Ex. DH 593 FB), Nomor Rangka MH1HABD155K131994, Nomor Mesin HABDE-1130906, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100, Nomor BPKB D No. 9153509 O dalam kondisi rusak berat (BPKB Ada, STNK Ada).",Honda,Win,2005,100,BPKB dan STNK
Pemkab Kupang,Kupang,2023,572000,3666666,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe MCB WIN, Tahun Pembuatan 1992, Nomor Polisi DH 769 HD, Nomor Rangka HA-242-13622, Nomor Mesin HAE-2110880, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 dalam kondisi rusak berat (BPKB Tidak ada, STNK Tidak ada).",Honda,Win MCB,1992,100,Tidak Ada
Pemkab Kupang,Kupang,2023,520000,529999,"1 (satu) unit Sepeda Motor, Merk Suzuki, Tipe A100, Tahun Pembuatan 1993, Nomor Polisi B 8981 EQ, Nomor Rangka MHBA 100VXPJ272921, Nomor Mesin A100 1D160076, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 dalam kondisi rusak berat (BPKB Tidak ada, STNK Tidak ada).",Suzuki,A 100,1993,100,Tidak Ada
Pemkab Kupang,Kupang,2023,518000,3666666,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe MCB WIN, Tahun Pembuatan 1982, Nomor Polisi DH 832 HD, Nomor Rangka HA-134-26713, Nomor Mesin HAE-2026674, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 dalam kondisi rusak berat (BPKB Tidak ada, STNK Tidak ada)",Honda,Win MCB,1982,100,Tidak Ada
Pemkab Kupang,Kupang,2023,979000,2078955,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe GL PRO 11 160, Tahun Pembuatan 1983, Nomor Polisi DH 606 B, Nomor Rangka MHIWABA18VK 003578, Nomor Mesin WABAE-10004082, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 dalam kondisi rusak berat (BPKB Tidak ada, STNK Tidak ada).",Honda,GL Pro,1983,100,Tidak Ada
Pemkab Kupang,Kupang,2023,582000,1000009,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe MCB WIN, Tahun Pembuatan 1993, Nomor Polisi DH 583 FA (ex. DH 496 FA), Nomor Rangka HA242-13735, Nomor Mesin HAE-2113254, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 dalam kondisi rusak berat (BPKB Tidak ada, STNK Ada).",Honda,Win MCB,1993,100,STNK
Pemkab Kupang,Kupang,2023,1503000,2333333,"1 (satu) unit Sepeda Motor, Merk Yamaha, Tipe YT, Tahun Pembuatan 1994, Nomor Polisi DH 525 AA, Nomor Rangka MH3-3HB005RK1079, Nomor Mesin 3HB-084656, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 dalam kondisi rusak berat (BPKB Tidak ada, STNK Tidak ada).",Yamaha,YT,1994,100,Tidak Ada
Pemkab Kupang,Kupang,2023,955000,4129999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win MCB, Tahun Pembuatan 2003, Nomor Polisi DH 309 AB, Nomor Rangka MH1HABD143K006028, Nomor Mesin HABDE-1005597, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 dalam kondisi rusak berat (BPKB Tidak ada, STNK Tidak ada).",Honda,Win MCB,2003,100,Tidak Ada
Pemkab Kupang,Kupang,2023,459000,1250999,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win MCB, Tahun Pembuatan 1991, Nomor Polisi DH 2279 WK, Nomor Rangka HA16954737, Nomor Mesin HAE-205482, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 dalam kondisi rusak berat (BPKB Tidak ada, STNK Ada).",Honda,Win MCB,1991,100,STNK
Pemkab Kupang,Kupang,2023,900000,4000000,"1 (satu) unit Sepeda Motor, Merk Honda, Tipe Win, Tahun Pembuatan 2003, Nomor Polisi DH 442 GA (Ex. DH 6323 AA), Nomor Rangka MH1HABB515K015286, Nomor Mesin HABDE-1015051, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak ada).",Honda,Win,2003,100,Tidak Ada
Pemprov NTT,Kota Kupang,2023,309000,509999,"1 (satu) unit Sepeda Motor, Merk Honda, Type CG, Tahun Pembuatan 1978, No. Polisi DH 716 FA (ex. DH 6528), No. Rangka NN047-25020, No. Mesin CG110E-1076705, Warna Merah, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Honda,CG 100,1978,100,Tidak Ada
Pemprov NTT,Kota Kupang,2023,308000,2000000,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type RXS, Tahun Pembuatan 1993, No. Polisi DH 4723 (ex. DH 3479), No. Rangka 3HB-019220, No. Mesin 3HB-067150, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 115 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Yamaha,RX Spesial,1993,115,Tidak Ada
Pemprov NTT,Kota Kupang,2023,273000,500999,"1 (satu) unit Sepeda Motor, Merk Honda, Type Astrea Grand , Tahun Pembuatan 1992, No. Rangka NC140 - 12643 , No. Mesin NCE - 111259, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Honda,Astrea Grand,1992,100,Tidak Ada
Pemprov NTT,Kota Kupang,2023,194000,777777,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type YT 115 cc, Tahun Pembuatan 2000, No. Polisi DH 3160 AW (ex. DH 364 PA), No. Rangka MH33WL004YK139135, No. Mesin 3BH-254851, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 115 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Ada).",Yamaha,YT 115,2000,115,STNK
Pemprov NTT,Kota Kupang,2023,748000,1605000,"1 (satu) unit Sepeda Motor, Merk Honda, Type Astrea NF 100, Tahun Pembuatan 1997, No. Polisi DH 3607 AW, No. Rangka MH1KEVF16VK168061, No. Mesin KE1VFE-1171644, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Ada).",Honda,Astrea NF 100,1997,100,STNK
Pemprov NTT,Kota Kupang,2023,201000,1750000,"1 (satu) unit Sepeda Motor, Merk Honda, Type Supra, Tahun Pembuatan 2000, No. Polisi DH 5543 PA, No. Rangka 219 YK-045848, No. Mesin KEV2E-1047043, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Honda,Supra,2000,100,Tidak Ada
Pemprov NTT,Kota Kupang,2023,753000,1750505,"1 (satu) unit Sepeda Motor, Merk Honda, Type GLP III SPORT, Tahun Pembuatan 2000, No. Polisi DH 2623 AW, No. Rangka MH1KEHK18YK000692, No. Mesin KEHKE-1000741, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 160 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Ada).",Honda,GL Pro,2000,160,STNK
Pemprov NTT,Kota Kupang,2023,611000,2755999,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type RX Spesial 115, Tahun Pembuatan 1997, No. Polisi DH 3404 AW, No. Rangka MH3-3HB007-VK180583, No. Mesin 3HB-174920, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 115 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Ada).",Yamaha,RX Spesial,1997,115,STNK
Pemprov NTT,Kota Kupang,2023,1055000,5755999,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type RX Spesial 115, Tahun Pembuatan 1997, No. Polisi DH 4912 AB, No. Rangka MH3-3HB007-VK180559, No. Mesin 3HB-175010, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 115 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Ada).",Yamaha,RX Spesial,1997,115,STNK
Pemprov NTT,Kota Kupang,2023,420000,5555999,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type RX Spesial 115, Tahun Pembuatan 1997, No. Polisi DH 370 HA, No. Rangka MH3-3HB007-VK180560, No. Mesin 3HB.174912, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 115 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Yamaha,RX Spesial,1997,115,Tidak Ada
Pemprov NTT,Kota Kupang,2023,341000,2790000,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type YT 115, Tahun Pembuatan 1999, No. Polisi DH 2572 AW, No. Rangka MH33WL004XK131915, No. Mesin 3HB-238270, Warna Hijau, Bahan Bakar Bensin, Isi Silinder 115 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Ada).",Yamaha,YT 115,1999,115,STNK
Pemprov NTT,Kota Kupang,2023,667000,2555555,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type YT 115, Tahun Pembuatan 1999, No. Polisi DH 2616 WK, No. Rangka MH33WL004XK131911, No. Mesin 3HB-238275, Warna Hitam (Ex Hijau), Bahan Bakar Bensin, Isi Silinder 115 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Ada).",Yamaha,YT 115,1999,115,STNK
Pemprov NTT,Kota Kupang,2023,911000,3678909,"1 (satu) unit Sepeda Motor, Merk Honda, Type Win, Tahun Pembuatan 2002, No. Polisi DH 3040 AW (ex. DH 2453 WK), No. Rangka MH1HABC112K007007, No. Mesin HABCE-1006413, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Honda,Win,2002,100,Tidak Ada
Pemprov NTT,Kota Kupang,2023,223000,8000002,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type RX King, Tahun Pembuatan 1993, No. Polisi DH 2790 AW, No. Rangka 3KA-041747, No. Mesin 3KA-069653, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 132 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Yamaha,RX King,1993,132,Tidak Ada
Pemprov NTT,Kota Kupang,2023,428000,1097878,"1 (satu) unit Sepeda Motor, Merk Honda , Type GL Max 115cc, Tahun Pembuatan 1998, No. Polisi DH 775, No. Rangka MH1UABA14VK005550, No. Mesin UABAE-1005773, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 115 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Honda,GL Max 115,1998,115,Tidak Ada
Pemprov NTT,Kota Kupang,2023,518000,2752838,"1 (satu) unit Sepeda Motor, Merk Honda, Type Astrea, Tahun Pembuatan 1993, No. Polisi DH 2838 AW, No. Rangka ND 122-96890, No. Mesin NDE-1097118, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Honda,Astrea,1993,100,Tidak Ada
Pemprov NTT,Kota Kupang,2023,400000,1505000,"1 (satu) unit Sepeda Motor, Merk Honda, Type Astrea, Tahun Pembuatan 1990, No. Polisi DH 2933 AW (ex. DH 538 GA), No. Rangka NB 16330496, No. Mesin NBE-1130544, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Honda,Astrea,1990,100,Tidak Ada
Pemprov NTT,Kota Kupang,2023,308000,1299000,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type V 110 E, Tahun Pembuatan 1993, No. Polisi DH 662 FA, No. Rangka 6XA-056963, No. Mesin 6XA-044560, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 110 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Yamaha,F1ZR,1993,110,Tidak Ada
Pemprov NTT,Kota Kupang,2023,358000,806789,"1 (satu) unit Sepeda Motor, Merk Honda, Type MCB WIN, Tahun Pembuatan 1989, No. Polisi DH 448 GA, No. Rangka HA149-38619, No. Mesin HAE2038756, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Honda,Win MCB,1989,100,Tidak Ada
Pemprov NTT,Kota Kupang,2023,222000,889000,"1 (satu) unit Sepeda Motor, Merk Suzuki, Type RC110, Tahun Pembuatan 1993, No. Polisi DH 456 PA, No. Rangka MHDRC110NPJ-194947, No. Mesin E107-ID-194809, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 110 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Suzuki,Crystal,1993,110,Tidak Ada
Pemprov NTT,Kota Kupang,2023,263000,506789,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type V100E, Tahun Pembuatan 1993, No. Polisi DH 2789 FA, No. Rangka 3AY-689730, No. Mesin 3FS-628102, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Yamaha,F1ZR,1993,100,Tidak Ada
Pemprov NTT,Kota Kupang,2023,433000,1755999,"1 (satu) unit Sepeda Motor, Merk Honda, Type Win MCB, Tahun Pembuatan 1988, No. Polisi DH 402, No. Rangka HA12721083, No. Mesin HAE2021079, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Ada).",Honda,Win MCB,1988,100,STNK
Pemprov NTT,Kota Kupang,2023,276000,506789,"1 (satu) unit Sepeda Motor, Merk Honda, Type Win, Tahun Pembuatan 1981, No. Polisi DH 479 GA, No. Rangka HA10100616, No. Mesin HAE2000707, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 cc dalam kondisi rusak berat (BPKB Tidak Ada, STNK Tidak Ada).",Honda,Win,1981,100,Tidak Ada
