NAMA PEMOHON LELANG/PENJUAL,LOKASI,TAHUN LELANG,NILAI LIMIT,POKOK LELANG,URAIAN BARANG,Merk,Type,Tahun Kendaraan,Isi Silinder,Dok Kepemilikan
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,933000,1233000,"Satu Unit Sepeda Motor, Merk Honda Supra X 125, Warna Hitam Merah, Tahun Pembuatan 2008,  Nomor Polisi EB 3893 WG, Nomor Rangka MH1JB91158K272712, Nomor Mesin JB91E1271397, Nomor BPKB  F NO 0589010 O, STNK Ada, Kondisi Jelek Sekali",Honda,Supra X,2008,125,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1175000,1975000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2008,  Nomor Polisi EB 3907 WG, Nomor Rangka MH1KC11198K154424, Nomor Mesin KC11E1156450, Nomor BPKB   F NO 0589033 O, STNK Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2008,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1175000,1375000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2008,  Nomor Polisi EB 3902  WG, Nomor Rangka MH1KC11178K155037, Nomor Mesin KC11E1157130, Nomor BPKB F NO 0589014 O, STNK Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2008,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1115000,1415000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2008,  Nomor Polisi EB 790 G, Nomor Rangka MH1KC11128K155141, Nomor Mesin KC11E1157222, Nomor BPKB  F NO 0589035 O, STNK Tidak Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2008,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1252000,2052000,"Satu Unit Sepeda Motor, Merk Honda Verza, Warna Hitam, Tahun Pembuatan 2013,  Nomor Polisi EB 908  AG, Nomor Rangka MH1KC521XDK076073, Nomor Mesin KC52E1077200,  BPKB  Tidak Ada, STNK Ada, Kondisi Jelek Sekali",Honda,CB Verza,2013,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1175000,1275000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2008,  Nomor Polisi EB 3895  WG, Nomor Rangka MH1KC11198K154455, Nomor Mesin KC11E1156653, Nomor BPKB  F NO 0589016 O, STNK Tidak Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2008,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1201000,1201000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam Abu Abu, Tahun Pembuatan 2011  Nomor Polisi EB 674 AG, Nomor Rangka MH1KC2111BK046389, Nomor Mesin KC21E1046408, Nomor BPKB  H-06163989, STNK Tidak Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2011,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1264000,1364000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam Abu Abu, Tahun Pembuatan 2011  Nomor Polisi EB 3445 WG, Nomor Rangka MH1KC2115BK046332, Nomor Mesin KC21E1046387, Nomor BPKB  I-01445007, STNK Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2011,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,666000,666000,"Satu Unit Sepeda Motor, Merk Suzuki Thunder, Warna Merah Hitam, Tahun Pembuatan 2010,  Nomor Polisi EB 604  AG, Nomor Rangka MH8EN125AAJ630390, Nomor Mesin F4051D630353, Nomor BPKB  H-02396123, STNK Tidak Ada, Kondisi Jelek Sekali",Suzuki,Thunder,2010,125,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,551000,1051000,"Satu Unit Sepeda Motor, Merk Suzuki Smash, Warna Biru, Tahun Pembuatan 2010,  Nomor Polisi EB 613 AG, Nomor Rangka MH8BE4DUAAJ146822, Nomor Mesin E4701D152207, Nomor BPKB H-02396132, STNK Tidak Ada, Kondisi Jelek Sekali",Suzuki,Smash,2010,110,Tidak Ada
